日付,タイトル,URL
"2021.05.25NEW
イベント",5月・6月のオープンキャンパス！,https://www.yic.ac.jp/ib/event/5%e6%9c%88%e3%83%bb6%e6%9c%88%e3%81%ae%e3%82%aa%e3%83%bc%e3%83%97%e3%83%b3%e3%82%ad%e3%83%a3%e3%83%b3%e3%83%91%e3%82%b9%ef%bc%81/
"2021.05.06
イベント",初めてでも大丈夫！土曜プログラミング講座,https://www.yic.ac.jp/ib/event/2021pg/
"2021.04.20
イベント",5月・6月にYIC進学相談会開催！（山口・防府・周南）,https://www.yic.ac.jp/ib/event/5%e6%9c%88%e3%83%bb6%e6%9c%88%e3%81%abyic%e9%80%b2%e5%ad%a6%e7%9b%b8%e8%ab%87%e4%bc%9a%e9%96%8b%e5%82%ac%ef%bc%81%ef%bc%88%e5%b1%b1%e5%8f%a3%e3%83%bb%e9%98%b2%e5%ba%9c%e3%83%bb%e5%91%a8%e5%8d%97/
"2021.03.30
イベント",Café de YICの営業日のお知らせ,https://www.yic.ac.jp/ib/event/cafe-de-yic%e3%82%aa%e3%83%bc%e3%83%97%e3%83%b3%e6%97%a5%e7%a8%8b-%e2%98%86%e5%bd%a1/
"2021.03.30
イベント",4月・5月のオープンキャンパス！,https://www.yic.ac.jp/ib/event/4%e6%9c%88%e3%83%bb5%e6%9c%88%e3%81%ae%e3%82%aa%e3%83%bc%e3%83%97%e3%83%b3%e3%82%ad%e3%83%a3%e3%83%b3%e3%83%91%e3%82%b9%ef%bc%81/
"2021.03.05
イベント",あなたの街で！YIC進学説明会のお知らせ,https://www.yic.ac.jp/ib/event/%e3%81%82%e3%81%aa%e3%81%9f%e3%81%ae%e8%a1%97%e3%81%a7%ef%bc%81yic%e9%80%b2%e5%ad%a6%e8%aa%ac%e6%98%8e%e4%bc%9a%e3%81%ae%e3%81%8a%e7%9f%a5%e3%82%89%e3%81%9b/
"2021.02.19
イベント",3月のオープンキャンパス！,https://www.yic.ac.jp/ib/event/3%e6%9c%88%e3%81%ae%e3%82%aa%e3%83%bc%e3%83%97%e3%83%b3%e3%82%ad%e3%83%a3%e3%83%b3%e3%83%91%e3%82%b9%ef%bc%81/
"2021.01.05
イベント",1月・2月のオープンキャンパス！,https://www.yic.ac.jp/ib/event/1%e6%9c%882%e6%9c%88%e3%81%ae%e3%82%aa%e3%83%bc%e3%83%97%e3%83%b3%e3%82%ad%e3%83%a3%e3%83%b3%e3%83%91%e3%82%b9%ef%bc%81/
"2020.11.17
イベント",12月のオープンキャンパス！,https://www.yic.ac.jp/ib/event/12%e6%9c%88%e3%81%ae%e3%82%aa%e3%83%bc%e3%83%97%e3%83%b3%e3%82%ad%e3%83%a3%e3%83%b3%e3%83%91%e3%82%b9%ef%bc%81/
"2020.11.02
イベント",あなたの街で！YIC出張学校説明会を開催します！,https://www.yic.ac.jp/ib/event/%e3%81%82%e3%81%aa%e3%81%9f%e3%81%ae%e8%a1%97%e3%81%a7%ef%bc%81yic%e5%87%ba%e5%bc%b5%e5%ad%a6%e6%a0%a1%e8%aa%ac%e6%98%8e%e4%bc%9a%e3%82%92%e9%96%8b%e5%82%ac%e3%81%97%e3%81%be%e3%81%99%ef%bc%81/
"2020.09.29
イベント",10月のオープンキャンパス！,https://www.yic.ac.jp/ib/event/10%e6%9c%88%e3%81%ae%e3%82%aa%e3%83%bc%e3%83%97%e3%83%b3%e3%82%ad%e3%83%a3%e3%83%b3%e3%83%91%e3%82%b9%ef%bc%81/
"2020.09.09
イベント",【IT系学科】宇部・周南で出張オープンキャンパスを開催します！,https://www.yic.ac.jp/ib/event/0923-1028oc/
